,Name,Location,Type,Fee,QS Ranking,Setara Rating,Accounting,Computer Science,Engineering,Education,Architecture,Business,Language,Islamic studies,Shariah and Law,Dental,Medic,Nursing,Health,Economy,Science,Pharmacy,Fine Arts,Food,Optometry,Nutrition,Forensic Science,Counselling,Finance,Social Science
50,Nilai University,Negeri Sembilan,Private,60000,,4,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1
45,Perdana University,Selangor,Private,NA,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18,Sultan Zainal Abidin (UniSZA),Terengganu,Public,14000,,4,1,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
19,Universiti Malaysia Kelantan (UMK),Kelantan,Public,11000,,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
10,Universiti Malaysia Sabah (UMS),Sabah,Public,8210,1001,4,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1
11,Universiti Pendidikan Sultan Idris (UPSI),Perak,Public,10000,801,4,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
15,Universiti Teknikal Malaysia Melaka (UTeM),Melaka,Public,12000,,4,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Universiti Teknologi Sarawak (UTS),Sarawak,Private,60800,,4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
14,Universiti Tun Hussein Onn Malaysia (UTHM),Johor,Public,10000,1001,4,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
32,Wawasan Open University,Pulau Pinang,Private,24000,,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
34,Al-Madinah International University (MEDIU),Selangor,Private,25000,,3,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Binary University of Management and Entrepreneurship,Selangor,Private,52000,,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,International University of Malaya-Wales,Kuala Lumpur,Private,40000,,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
36,Limkokwing University of Creative Technology,Putrajaya,Private,40000,,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
49,Malaysia Institute of Supply Chain Innovation (MISI),Selangor,Private,61000,,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
27,Open University Malaysia (OUM),Kuala Lumpur,Private,20000,,3,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
40,Quest International University,Perak,Private,NA,,3,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1
48,Raffles University Iskandar (RUI),Johor,Private,105000,,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
47,UNITAR International University,Selangor,Private,45000,,3,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
67,Universiti Islam Antarabangsa Sultan Abdul Halim Mu’adzam Shah,Kedah,Private,151000,,3,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
26,Universiti Selangor (UNISEL),Selangor,Private,NA,,3,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1
60,University Malaysia of Computer Science and Engineering,Putrajaya,Private,64000,,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Albukhary International University,Kedah,Private,NA,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Asia School of Business,Kuala Lumpur,Private,265000,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,DRB-HICOM University of Automotive Malaysia,Pahang,Private,45000,,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Malaysia University of Science & Technology (MUST),Selangor,Private,NA,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
57,Manipal GlobalNxt University,Kuala Lumpur,Private,NA,,,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1
65,Meritus University,Kuala Lumpur,Private,NA,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
61,"Universiti Islam Malaysia, Cyberjaya",Selangor,Private,108000,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
69,Universiti Islam Pahang Sultan Ahmad Shah (UnIPSAS),Pahang,Private,NA,,,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
66,Universiti Sultan Azlan Shan,Perak,Private,NA,,,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
